state,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment,code
TN,Rhodes College,Tennessee,1205945,1694962,3027000,5927907,352206000,351900
MD,Saint Mary'S College Of Maryland,Maryland,1173755,1716025,3027000,5916780,0,209500
NY,Yeshivath Viznitz,New York,1198248,1724833,2993000,5916081,0,1302700
NH,Nashua Community College,New Hampshire,802358,1845578,3265000,5912936,0,923600
OH,Wilberforce University,Ohio,689372,1911149,3311000,5911521,0,314100
OH,Hiram College,Ohio,1033772,1774527,3099000,5907299,0,304900
NY,"Teachers College, Columbia University",New York,1118534,1680289,3107000,5905823,345191000,397900
NH,Saint Anselm College,New Hampshire,1134675,1695795,3067000,5897470,164005000,258700
PA,Immaculata University,Pennsylvania,1006089,1763406,3125000,5894495,0,327600
MI,Kalamazoo College,Michigan,1178454,1709694,3006000,5894148,240344000,227500
MN,University Of Minnesota - Crookston,Minnesota,864154,1816506,3207000,5887660,0,406900
